USE,RS,RS_ALT,GEN,SHAPE_LENG,SHAPE_AREA,x,y
4,"03153","031530000000",Goslar,185194.060715058993082,959443793.372160077095032,10.3994820099,51.8751764271
4,"03154","031540000000",Helmstedt,180240.552454529009992,668591093.980270981788635,10.8914687013,52.2602665653
4,"03155","031550000000",Northeim,175798.055652025999734,1281134127.286710023880005,9.8468376853,51.7423075997
4,"03157","031570000000",Peine,110084.248661773002823,525738953.859456002712250,10.2568960508,52.3040297007
4,"03158","031580000000",Wolfenb�ttel,170337.074951621005312,725148023.981310963630676,10.5827191308,52.1273317656
4,"03241","032410000000",Region Hannover,277656.772373699990567,2304981763.429599761962891,9.7210794291,52.4211766420
4,"03251","032510000000",Diepholz,241723.515253982011927,1997582961.785120010375977,8.7017619955,52.7290782081
4,"03252","032520000000",Hameln-Pyrmont,154799.687557483994169,799836943.905382990837097,9.3895805107,52.0945402948
4,"03254","032540000000",Hildesheim,188223.913683210994350,1202476823.267060041427612,9.9439689863,52.0896100060
4,"03255","032550000000",Holzminden,157238.916168833005941,685729570.155187964439392,9.5524259647,51.8818357421
4,"01056","010560000000",Pinneberg,135151.760368638992077,664562189.987712025642395,9.7357183728,53.7143972754
4,"03256","032560000000",Nienburg (Weser),237629.499439306004206,1411939045.148519992828369,9.1122963937,52.6074979818
4,"03257","032570000000",Schaumburg,152998.034651061985642,670494228.201141119003296,9.2067346958,52.2928441839
4,"03351","033510000000",Celle,189595.906158950994723,1549473749.850820064544678,10.1034988654,52.7125881649
4,"03352","033520000000",Cuxhaven,258004.054783444997156,2074254879.473989963531494,8.8121569495,53.6166344244
4,"03353","033530000000",Harburg,198449.187710830010474,1228825469.784379959106445,9.9628650851,53.3145884835
4,"03354","033540000000",L�chow-Dannenberg,194877.872837044997141,1225545170.058449983596802,11.1209148574,53.0196395122
4,"03355","033550000000",L�neburg,257919.774273788993014,1323923927.735539913177490,10.5736926521,53.2333345204
4,"03356","033560000000",Osterholz,142234.443271686002845,650391916.873757004737854,8.8115524009,53.2519899257
4,"03357","033570000000",Rotenburg (W�mme),277027.415519576985389,2066661708.730350017547607,9.3090984560,53.2494605281
4,"03358","033580000000",Heidekreis,284152.073410786979366,1883207777.979340076446533,9.7711747123,52.9284035327
4,"03359","033590000000",Stade,223466.559137978038052,1312191877.378969907760620,9.4118388956,53.5927499119
4,"03360","033600000000",Uelzen,179841.270820464997087,1464631632.707959890365601,10.5476245968,52.9839943398
4,"03361","033610000000",Verden,163104.843275179970078,785582759.113536000251770,9.1758449861,52.9744791364
4,"03401","034010000000",Delmenhorst,35790.343703323596856,72177995.597960203886032,8.6392014168,53.0468669657
4,"03402","034020000000",Emden,57527.616305150302651,111536283.027454003691673,7.1772342850,53.3605852224
4,"03403","034030000000",Oldenburg (Oldenburg),43475.131347542599542,106839362.638059005141258,8.2231219595,53.1439840471
4,"03404","034040000000",Osnabr�ck,54919.713644245697651,121548853.377948001027107,8.0471150674,52.2769874148
4,"03405","034050000000",Wilhelmshaven,45299.375295498597552,108502479.031415984034538,8.0850591596,53.5651176627
4,"03451","034510000000",Ammerland,130685.978486926003825,726824246.896437048912048,8.0129671682,53.2177288491
4,"03452","034520000000",Aurich,299324.293277440010570,1304510899.919369935989380,7.3669544182,53.4983675685
4,"03453","034530000000",Cloppenburg,196018.547502511006314,1411812701.480499982833862,7.9041844484,52.9113002125
4,"03454","034540000000",Emsland,271600.406508765008766,2876640593.805379867553711,7.4028955508,52.7388123611
4,"03455","034550000000",Friesland,169957.774728693009820,615871372.939205050468445,7.9830468744,53.5086379202
4,"03456","034560000000",Grafschaft Bentheim,177143.259464269998716,982992675.452827930450439,7.0211334524,52.4761306473
4,"03457","034570000000",Leer,182982.254741332988488,1064002897.812409996986389,7.4775321259,53.2410701049
4,"03458","034580000000",Oldenburg,162841.374381125991931,1044519169.322399973869324,8.3866161702,52.9872086230
4,"03459","034590000000",Osnabr�ck,317921.769619751023129,2109330146.227250099182129,8.0452318445,52.3823759333
4,"03460","034600000000",Vechta,151022.364045254013035,814317729.760378956794739,8.2224892152,52.6618386645
4,"03461","034610000000",Wesermarsch,189616.560019550990546,839007521.958055019378662,8.3885112075,53.3578290056
4,"03462","034620000000",Wittmund,201292.284788696037140,666863169.512871026992798,7.7069479357,53.5757320126
4,"04011","040110000000",Bremen,117867.933593781999662,333877872.582441985607147,8.7750965269,53.1249003901
4,"04012","040120000000",Bremerhaven,53584.323044190001383,71751076.281296506524086,8.5874409003,53.5363782610
4,"05111","051110000000",D�sseldorf,91421.830277352099074,219764730.259499013423920,6.8134966282,51.2350563009
4,"05112","051120000000",Duisburg,76480.458049081993522,235863972.468517959117889,6.7355040230,51.4411498275
4,"05113","051130000000",Essen,66677.380104639698402,207778308.057368010282516,7.0195507782,51.4340907850
4,"05114","051140000000",Krefeld,52206.121567714399134,134411232.727355986833572,6.5799031747,51.3439269730
4,"05116","051160000000",M�nchengladbach,68019.285831567103742,166914494.225354999303818,6.4097669685,51.1673473993
4,"05117","051170000000",M�lheim an der Ruhr,39205.698263327401946,94370429.583703696727753,6.8810116504,51.4128234975
4,"05119","051190000000",Oberhausen,40559.051375891300268,75703734.735243499279022,6.8467239314,51.5146545500
4,"05120","051200000000",Remscheid,37612.177360264402523,75428349.271095097064972,7.2251735181,51.1834747693
4,"05122","051220000000",Solingen,50349.134531399802654,85298116.271051302552223,7.0652637746,51.1633117580
4,"05124","051240000000",Wuppertal,64968.283535764297994,168187375.342619001865387,7.1696731904,51.2516747444
4,"05154","051540000000",Kleve,233817.723573275987292,1228082224.067059993743896,6.2599025852,51.6508314860
4,"05158","051580000000",Mettmann,137624.733582014014246,411455355.621457993984222,6.9704331651,51.2565537846
4,"05162","051620000000",Rhein-Kreis Neuss,141601.547505599999567,574384227.995543956756592,6.6482721797,51.1433828945
4,"05166","051660000000",Viersen,131801.625319584010867,562329601.358265995979309,6.3260300268,51.2815989562
4,"05170","051700000000",Wesel,194743.083294450014364,1045314798.110389947891235,6.6183180034,51.6268277627
4,"05314","053140000000",Bonn,55924.451251112397586,143665641.802724003791809,7.1094096407,50.7075607839
4,"05315","053150000000",K�ln,105696.297782894005650,406002715.485046029090881,6.9719616886,50.9455072525
4,"05316","053160000000",Leverkusen,40264.491223689103208,74751718.009452402591705,7.0176999588,51.0529800896
4,"05334","053340000000",Aachen,178172.462983894976787,707581017.800997972488403,6.2170170731,50.7273766104
4,"05358","053580000000",D�ren,175104.069097297993721,933605573.564972996711731,6.4452130718,50.8163896988
4,"05362","053620000000",Rhein-Erft-Kreis,152060.377589665004052,706489406.131378173828125,6.7155007956,50.9050857572
4,"05366","053660000000",Euskirchen,229765.123764479008969,1236120100.015470027923584,6.6439424747,50.5371143759
4,"05370","053700000000",Heinsberg,134097.937232780997874,633003718.224447965621948,6.1643275214,51.0490073377
4,"05374","053740000000",Oberbergischer Kreis,162829.917471282999031,913778845.378591060638428,7.5175366618,51.0120393946
4,"05378","053780000000",Rheinisch-Bergischer Kreis,128591.426109178006300,449449342.442910015583038,7.1959952345,51.0215726993
4,"05382","053820000000",Rhein-Sieg-Kreis,260161.920646696991753,1146727590.648619890213013,7.2338469397,50.7589022234
4,"05512","055120000000",Bottrop,50392.734369513098500,102329635.368364006280899,6.9209171270,51.5715592089
4,"05513","055130000000",Gelsenkirchen,46495.173648930802301,103554673.193602994084358,7.0713138005,51.5532025521
4,"05515","055150000000",M�nster,72610.091186388293863,307682925.866434991359711,7.6220701474,51.9555860237
4,"05554","055540000000",Borken,241754.425471905997256,1423839165.031349897384644,6.8989742413,51.9612343458
4,"05558","055580000000",Coesfeld,170142.414993690006668,1109998945.250979900360107,7.3651153005,51.8663951608
4,"05562","055620000000",Recklinghausen,159949.578511024010368,759459943.704380989074707,7.1614682943,51.6718844789
4,"05566","055660000000",Steinfurt,212521.390465136006242,1794020350.951469898223877,7.5803725292,52.2123721388
4,"05570","055700000000",Warendorf,183541.119620356999803,1321153957.187360048294067,7.9585063888,51.8710949154
4,"05711","057110000000",Bielefeld,73340.515744403106510,258802799.100937008857727,8.5395794871,52.0108791233
4,"05754","057540000000",G�tersloh,168092.981077659002040,964089363.334396958351135,8.3536668242,51.9323666103
4,"05758","057580000000",Herford,120295.693272880002041,458716451.602631986141205,8.6437978637,52.1673420776
4,"05762","057620000000",H�xter,180596.639926520001609,1198961364.449980020523071,9.1779756615,51.6858497523
4,"05766","057660000000",Lippe,189108.267715939000482,1241933993.673340082168579,8.9509215161,51.9818069865
4,"05770","057700000000",Minden-L�bbecke,208045.110473267995985,1135308433.284929990768433,8.7398025186,52.3524948056
4,"05774","057740000000",Paderborn,171462.295517158985604,1243393923.407660007476807,8.7192517248,51.6627107955
4,"05911","059110000000",Bochum,52836.994027697204729,138907450.290820002555847,7.2248844696,51.4688881964
4,"05913","059130000000",Dortmund,76977.066185593401315,271774795.349174022674561,7.4749601828,51.5158035020
4,"05914","059140000000",Hagen,63528.336386376096925,163930281.449037015438080,7.4962782285,51.3488406825
4,"05915","059150000000",Hamm,71672.065928378797253,236274415.859521001577377,7.8228434947,51.6651010277
4,"05916","059160000000",Herne,32171.820299733699358,55460460.760731302201748,7.2100390388,51.5370245813
4,"05954","059540000000",Ennepe-Ruhr-Kreis,124872.676001088999328,401419057.782346010208130,7.3250652869,51.3475466105
4,"05958","059580000000",Hochsauerlandkreis,292024.780326730979141,1951457933.918179988861084,8.3832383018,51.3062032501
4,"05962","059620000000",M�rkischer Kreis,149630.990008991037030,1062418858.421180009841919,7.7123354490,51.2617321891
4,"05966","059660000000",Olpe,145512.355799973011017,706877712.080201029777527,7.9757675638,51.0845738601
4,"05970","059700000000",Siegen-Wittgenstein,191956.824618974991608,1126528698.737159967422485,8.1958729852,50.9378543093
4,"05974","059740000000",Soest,186229.586187789012911,1335130840.084909915924072,8.2169694916,51.5645561064
4,"05978","059780000000",Unna,156738.147419679968152,537380941.548537969589233,7.6354911702,51.5768402156
4,"06411","064110000000",Darmstadt,51098.109697386302287,125136430.806627005338669,8.6682287257,49.8818837253
4,"06412","064120000000",Frankfurt am Main,89699.563713708994328,246587697.299888998270035,8.6442869473,50.1189485870
4,"06413","064130000000",Offenbach am Main,28629.824131169098109,47942760.550101302564144,8.7833330648,50.0908481177
4,"06414","064140000000",Wiesbaden,61969.835577524303517,208019917.076719999313354,8.2627270233,50.0786277355
4,"06431","064310000000",Bergstra�e,179493.030665816011606,718778503.979081988334656,8.6616260236,49.6158133114
4,"06432","064320000000",Darmstadt-Dieburg,175661.044319200009340,666580601.314736008644104,8.7939608059,49.8555097019
4,"06433","064330000000",Gro�-Gerau,123142.445134724999662,449546552.308309972286224,8.4709018005,49.9049155738
4,"06434","064340000000",Hochtaunuskreis,108799.811030723009026,481664785.235567986965179,8.5054755909,50.2805320798
4,"06435","064350000000",Main-Kinzig-Kreis,234236.139612525003031,1395669070.773139953613281,9.2840052318,50.2443584336
4,"06436","064360000000",Main-Taunus-Kreis,83149.729229165299330,211930721.146059006452560,8.4343612513,50.1011727112
4,"06437","064370000000",Odenwaldkreis,133750.819849746010732,623692365.577726006507874,8.9796246271,49.6691345174
4,"06438","064380000000",Offenbach,99691.427291593907285,344352769.731507003307343,8.8110930570,50.0208619169
4,"06439","064390000000",Rheingau-Taunus-Kreis,161698.838709800009383,814638305.748512983322144,8.0824345985,50.1419713099
4,"06440","064400000000",Wetteraukreis,190571.389249905012548,1085466864.003299951553345,8.9042760691,50.3543548580
4,"06531","065310000000",Gie�en,170730.613871136010857,864130587.348067045211792,8.8098719909,50.5699246884
4,"06532","065320000000",Lahn-Dill-Kreis,176404.597565428004600,1061579799.453189969062805,8.3647185799,50.6477422407
4,"06533","065330000000",Limburg-Weilburg,131025.207042704991181,735233244.020330071449280,8.1984052697,50.4277703197
4,"06534","065340000000",Marburg-Biedenkopf,171753.718968108994886,1270741080.781200170516968,8.7388505234,50.8369156300
4,"06535","065350000000",Vogelsbergkreis,222969.562742212990997,1447325811.843100070953369,9.2712120936,50.6379608695
4,"06611","066110000000",Kassel,42943.103664986301737,112831212.572826996445656,9.4598864349,51.3113767604
4,"06631","066310000000",Fulda,210040.575275092996890,1386589577.339289903640747,9.7577960792,50.5637607419
4,"06632","066320000000",Hersfeld-Rotenburg,176546.465476318990113,1114242648.092600107192993,9.7538765645,50.9064177538
4,"06633","066330000000",Kassel,270032.433256389980670,1269163100.819999933242798,9.4045730672,51.4020581523
4,"06634","066340000000",Schwalm-Eder-Kreis,194296.851790331013035,1529584619.263170003890991,9.3750563125,51.0250291496
4,"06635","066350000000",Waldeck-Frankenberg,262466.661825409973972,1851443766.784790039062500,8.8884456693,51.1910660352
4,"06636","066360000000",Werra-Mei�ner-Kreis,211362.388338954013307,1029445310.970020055770874,9.9286576504,51.1923445004
4,"07111","071110000000",Koblenz,50807.961798930300574,110974598.137621000409126,7.5804260400,50.3489614994
4,"07131","071310000000",Ahrweiler,149861.954254685988417,785022101.149090051651001,7.0446191205,50.4675798779
4,"07132","071320000000",Altenkirchen (Westerwald),181462.395859707990894,632763648.800076007843018,7.7463935139,50.7512274171
4,"07133","071330000000",Bad Kreuznach,150648.957660246989690,868147251.969401001930237,7.6867464869,49.8256450783
4,"07134","071340000000",Birkenfeld,139931.691427268000552,772658156.668388009071350,7.2776300911,49.7123071657
4,"07135","071350000000",Cochem-Zell,127380.123817384999711,730334748.081287026405334,7.1809069627,50.1314097529
4,"07137","071370000000",Mayen-Koblenz,204008.366042892012047,806691549.582447052001953,7.3298325749,50.3313940194
4,"07138","071380000000",Neuwied,137690.739314987993566,632888197.691131114959717,7.4705238373,50.5583449762
4,"07140","071400000000",Rhein-Hunsr�ck-Kreis,173223.443191380007192,955054161.183478951454163,7.5041759254,50.0429253375
4,"07141","071410000000",Rhein-Lahn-Kreis,164684.102084737998666,781874493.193500995635986,7.8443113476,50.2634596997
4,"07143","071430000000",Westerwaldkreis,185575.973799244995462,986688088.394194006919861,7.8653107049,50.5520449593
4,"07211","072110000000",Trier,56019.638651218003361,122345650.158366993069649,6.6585430567,49.7637551454
4,"07231","072310000000",Bernkastel-Wittlich,165595.228380726970499,1177603036.691550016403198,6.9667039484,49.9239533880
4,"07232","072320000000",Eifelkreis-Bitburg-Pr�m,181254.275537765002809,1619238679.455820083618164,6.4099125626,50.0617425885
4,"07233","072330000000",Vulkaneifel,188222.428190701000858,918186551.346484065055847,6.7454846304,50.2395230869
4,"07235","072350000000",Trier-Saarburg,225948.229683139012195,1082748387.843090057373047,6.6920840732,49.6961889939
4,"07311","073110000000",Frankenthal (Pfalz),34116.685566680302145,43491071.942408397793770,8.3547749072,49.5324007194
4,"07312","073120000000",Kaiserslautern,60164.030882147002558,146450241.916034996509552,7.7593886065,49.4344149069
4,"07313","073130000000",Landau in der Pfalz,61094.274804065797071,90340756.807595297694206,8.0513498788,49.2246719983
4,"07314","073140000000",Ludwigshafen am Rhein,46485.097315446997527,81467592.187913283705711,8.3970106822,49.4827967717
4,"07315","073150000000",Mainz,52136.115431221398467,95104303.840071097016335,8.2414467275,49.9751723112
4,"07316","073160000000",Neustadt an der Weinstra�e,56356.867360564392584,110248224.054364979267120,8.1542060348,49.3413829842
4,"07317","073170000000",Pirmasens,34376.470655034201627,66117645.846751101315022,7.5958992540,49.1964064842
4,"07318","073180000000",Speyer,31992.715289714498795,39599887.154145501554012,8.4325052134,49.3281489275
4,"07319","073190000000",Worms,65980.179484363296069,111471506.047040998935699,8.3240449087,49.6501669507
4,"07320","073200000000",Zweibr�cken,41167.173639989603544,66588885.844298601150513,7.3623364113,49.2468915410
4,"07331","073310000000",Alzey-Worms,149604.537406743009342,589507408.037580966949463,8.1550654685,49.7602161616
4,"07332","073320000000",Bad D�rkheim,147953.820051445014542,606854037.752388954162598,8.1119267628,49.4529092272
4,"07333","073330000000",Donnersbergkreis,117864.413403867001762,636749166.421792984008789,7.9157543589,49.6320845097
4,"07334","073340000000",Germersheim,117050.632826618995750,458243181.864431023597717,8.2480493712,49.1168611380
4,"07335","073350000000",Kaiserslautern,203624.164299697004026,630448402.519713997840881,7.6850961529,49.4462297068
4,"07336","073360000000",Kusel,136781.398079662001692,586975406.108945965766907,7.4699132803,49.5487982676
4,"07337","073370000000",S�dliche Weinstra�e,202876.395097208005609,631003732.168648958206177,8.0498983477,49.1905937402
4,"07338","073380000000",Rhein-Pfalz-Kreis,140858.535789179004496,304984480.171330988407135,8.3654184486,49.4146095562
4,"07339","073390000000",Mainz-Bingen,191959.500786890013842,603426229.947553038597107,8.0809481360,49.9222872004
4,"07340","073400000000",S�dwestpfalz,214931.184217822010396,952616026.024451971054077,7.6611590030,49.2081627474
4,"08111","081110000000",Stuttgart,71106.205381218795083,210549764.140897989273071,9.1723357935,48.7713100770
4,"08115","081150000000",B�blingen,138857.158672551013296,613596471.926998972892761,8.9429488254,48.6775704672
4,"08116","081160000000",Esslingen,135172.957465612998931,638027836.613636016845703,9.3714711572,48.6465154802
4,"08117","081170000000",G�ppingen,135005.577665646997048,642764094.777354001998901,9.7186071556,48.6644303104
4,"08118","081180000000",Ludwigsburg,161395.839995137968799,687843532.666422963142395,9.1265289134,48.9391371657
4,"08119","081190000000",Rems-Murr-Kreis,154766.907629244000418,858908180.359185934066772,9.5020641513,48.8991535872
4,"08121","081210000000",Heilbronn,51191.316734699503286,106580065.438812002539635,9.1839018304,49.1530353599
4,"08125","081250000000",Heilbronn,271322.324978440010455,1091468924.021219968795776,9.1901064703,49.1765382988
4,"08126","081260000000",Hohenlohekreis,161935.500005891983164,778222102.297590970993042,9.6147191318,49.2708631414
4,"08127","081270000000",Schw�bisch Hall,217983.651155213039601,1473944848.275589942932129,9.9094853528,49.1434964099
4,"08128","081280000000",Main-Tauber-Kreis,271405.775645186018664,1308329149.091379880905151,9.7265589535,49.5595209587
4,"08135","081350000000",Heidenheim,164762.711120955005754,619621326.692682027816772,10.1818478838,48.6606902093
4,"08136","081360000000",Ostalbkreis,228925.460203279013513,1529997283.916179895401001,10.0956200796,48.8778021280
4,"08211","082110000000",Baden-Baden,63789.850446732001728,140206801.655667990446091,8.2339274309,48.7454708614
4,"08212","082120000000",Karlsruhe,61232.565549504797673,177395476.468019992113113,8.4141288629,49.0088804581
4,"08215","082150000000",Karlsruhe,226746.465331143990625,1083125663.108200073242188,8.5631215654,49.0821882886
4,"08216","082160000000",Rastatt,216580.850858349993359,750025971.878944039344788,8.2430761474,48.7615521731
4,"08221","082210000000",Heidelberg,50131.160432024902548,108037857.155355006456375,8.6938593128,49.4053711872
4,"08222","082220000000",Mannheim,61831.395177844897262,146172171.088445007801056,8.5015682745,49.4989098224
4,"08225","082250000000",Neckar-Odenwald-Kreis,193373.060383030999219,1128252619.642060041427612,9.2797379361,49.4658283335
4,"08226","082260000000",Rhein-Neckar-Kreis,278666.673507609986700,1043614852.273859977722168,8.7680663574,49.3672318103
4,"08231","082310000000",Pforzheim,45207.478741679202358,104274437.573949992656708,8.7130413785,48.8775352528
4,"08235","082350000000",Calw,151413.856017256010091,789095403.867086052894592,8.6381140200,48.6782663396
4,"08236","082360000000",Enzkreis,179967.547940140997525,567274910.746935963630676,8.7395333778,48.9145962834
4,"08237","082370000000",Freudenstadt,162047.209728332003579,866661527.253687977790833,8.4664496241,48.4746038806
4,"08311","083110000000",Freiburg im Breisgau,75058.915882617700845,161922862.347541004419327,7.8167230280,47.9926031465
4,"08315","083150000000",Breisgau-Hochschwarzwald,294270.910726624017116,1385200710.086289882659912,7.9282121675,47.9248565359
4,"08316","083160000000",Emmendingen,138361.847765463986434,674297766.861919045448303,7.8956730440,48.1491924658
4,"08317","083170000000",Ortenaukreis,213214.170483169000363,1858002212.690330028533936,8.0165896063,48.4205660582
4,"08325","083250000000",Rottweil,162703.594778355007293,765071443.274853944778442,8.5308703016,48.2545621932
4,"08326","083260000000",Schwarzwald-Baar-Kreis,167501.282648219988914,1017976339.625049948692322,8.4087064232,48.0216362903
4,"08327","083270000000",Tuttlingen,140013.663493217987707,747699093.584339022636414,8.7928187584,48.0110484736
4,"08335","083350000000",Konstanz,207709.847639165003784,863116972.503312945365906,8.9178765553,47.7921871946
4,"08336","083360000000",L�rrach,143803.757569671986857,811758705.454262971878052,7.7736827293,47.7038828379
4,"08337","083370000000",Waldshut,221950.045651026011910,1124357464.559309959411621,8.2183781460,47.6969982783
4,"08415","084150000000",Reutlingen,182692.388068773987470,1086272205.136519908905029,9.3659023377,48.4059377194
4,"08416","084160000000",T�bingen,120795.166647806006949,524876771.868785023689270,8.9890350825,48.4824437720
4,"08417","084170000000",Zollernalbkreis,157072.895332646003226,918209897.190680027008057,8.9368450145,48.2671106934
4,"08421","084210000000",Ulm,64138.854325774598692,117850842.344411000609398,9.9475154770,48.3908277313
4,"08425","084250000000",Alb-Donau-Kreis,280120.077250468020793,1357923908.584589958190918,9.8264041633,48.4021162746
4,"08426","084260000000",Biberach,214557.354650443012360,1414374852.290369987487793,9.7740321838,48.1073694981
4,"08435","084350000000",Bodenseekreis,147060.916177050996339,670130370.394037961959839,9.4011426711,47.7332223407
4,"08436","084360000000",Ravensburg,227824.119894124014536,1633605428.050790071487427,9.7806804788,47.8248275916
4,"08437","084370000000",Sigmaringen,223505.897790274990257,1204757955.826090097427368,9.2410075180,48.0382746598
4,"09161","091610000000",Ingolstadt,55650.662560755903542,139242223.999298989772797,11.3950610120,48.7545068103
4,"09162","091620000000",M�nchen,89275.899696740394575,320474609.995489001274109,11.5482214142,48.1529234646
4,"09163","091630000000",Rosenheim,24593.039685512798314,39991941.050243400037289,12.1095868715,47.8448420740
4,"09171","091710000000",Alt�tting,111803.087141697018524,572364817.657062053680420,12.7050019199,48.2092528528
4,"09172","091720000000",Berchtesgadener Land,186080.796372418990359,840253930.735802054405212,12.9022933819,47.6978049515
4,"09173","091730000000",Bad T�lz-Wolfratshausen,175463.257240050996188,1120958332.499069929122925,11.4841692200,47.7272811424
4,"09174","091740000000",Dachau,115185.534920207006508,578406763.131610989570618,11.3541816921,48.3349377057
4,"09175","091750000000",Ebersberg,110234.652618462001556,557705690.081223964691162,11.9125102668,48.0761873979
4,"09176","091760000000",Eichst�tt,204915.148636335012270,1210759616.924849987030029,11.3703694365,48.8970781608
4,"09177","091770000000",Erding,126507.119282860003295,868994757.792790055274963,12.0026028541,48.3016233480
4,"09178","091780000000",Freising,142130.464838859013980,809591876.693699002265930,11.7408592502,48.4474396756
4,"09179","091790000000",F�rstenfeldbruck,105227.487897747996612,432484490.656942069530487,11.2002851477,48.1884253756
4,"09180","091800000000",Garmisch-Partenkirchen,163325.639689507981529,1016288524.785349965095520,11.1286072873,47.5563989562
4,"09181","091810000000",Landsberg am Lech,144919.329104945005383,800454453.296111941337585,10.9483942163,48.0244548314
4,"09182","091820000000",Miesbach,156343.623136990994681,860091008.652924895286560,11.8096078196,47.7417620894
4,"09183","091830000000",M�hldorf a. Inn,160254.628787836991251,809304092.602992057800293,12.3819992912,48.2388994924
4,"09184","091840000000",M�nchen,195979.184906282986049,653458357.173406004905701,11.6317373547,48.0754290150
4,"09185","091850000000",Neuburg-Schrobenhausen,139732.855288324004505,726875041.815724968910217,11.1973377215,48.6639541791
4,"09186","091860000000",Pfaffenhofen a.d. Ilm,158957.595211151987314,759685956.388846993446350,11.5239480859,48.5953845970
4,"09187","091870000000",Rosenheim,282751.238206183013972,1442481502.614209890365601,12.1632628677,47.8777432674
4,"09188","091880000000",Starnberg,112480.945327784997062,496866445.042445003986359,11.2819208023,48.0063930848
4,"09189","091890000000",Traunstein,248304.431579468975542,1534276716.144829988479614,12.5800210297,47.8936432707
4,"09190","091900000000",Weilheim-Schongau,187137.750349648005795,975788386.092097043991089,11.0464600605,47.7869302711
4,"09261","092610000000",Landshut,51580.340678154003399,71280414.544156000018120,12.1590147464,48.5451899893
4,"09262","092620000000",Passau,36704.925739949801937,71107050.766485005617142,13.4208920938,48.5812460174
4,"09263","092630000000",Straubing,39314.173662474902812,70590821.186245501041412,12.5732535791,48.8813162316
4,"09271","092710000000",Deggendorf,143771.418997177999699,870890273.096786975860596,13.0011749095,48.7790171818
4,"09272","092720000000",Freyung-Grafenau,150192.203798970003845,969004798.976389050483704,13.5143239669,48.8269687347
4,"09273","092730000000",Kelheim,183520.299566616013180,1066614632.158210039138794,11.8577046050,48.8253085733
4,"09274","092740000000",Landshut,232659.970324258989422,1331362683.646159887313843,12.1973986643,48.5577982174
4,"09275","092750000000",Passau,247999.181953860999784,1533962999.860320091247559,13.3684580518,48.5588029910
4,"09276","092760000000",Regen,155261.534836133010685,984682277.881199955940247,13.0998982420,49.0229923732
4,"09277","092770000000",Rottal-Inn,189461.621949438005686,1279860316.478420019149780,12.8688511535,48.4249346518
4,"09278","092780000000",Straubing-Bogen,223846.270852730987826,1194405337.697319984436035,12.5815863759,48.9007302781
4,"09279","092790000000",Dingolfing-Landau,169041.136900506011443,884238764.615486979484558,12.6089393733,48.6405623762
4,"09361","093610000000",Amberg,28855.090162638098263,52378559.045844502747059,11.8497767826,49.4504258525
4,"09362","093620000000",Regensburg,40352.235297350198380,87044784.163265898823738,12.1127378694,49.0113064701
4,"09363","093630000000",Weiden i.d. OPf.,44315.225054345399258,72070280.930953606963158,12.1601359669,49.6687400886
4,"09371","093710000000",Amberg-Sulzbach,253945.446662341011688,1255127459.919090032577515,11.8032414343,49.4868132432
4,"09372","093720000000",Cham,215922.230476405995432,1501427294.905869960784912,12.6965349308,49.2379389695
4,"09373","093730000000",Neumarkt i.d. OPf.,198572.403556961013237,1344222310.405839920043945,11.5646788050,49.2156787042
